filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/acs-main/TOC.md,,,,,,
./help/overview.md,Adobe Campaign Standard Tutorials - Overview,"Adobe Campaign provides a platform for designing cross-channel customer experiences and provides an environment for visual campaign orchestration, real time interaction management and cross channel execution. This user guide contains videos and tutorials on the many features and capabilities of Adobe Campaign Standard.",Overview,,"Business Practitioner, Administrator, Developer",Beginner
./help/getting-started/getting-started-overview.md,Getting Started with Adobe Campaign Standard,This video gives you an overview over the Adobe Campaign Standard user interface and the key features and core functionality.,Overview,,"Business Practitioner, Administrator, Developer",Beginner
./help/getting-started/adobe-campaign-standard-introduction.md,Introduction to Adobe Campaign Standard,This video gives you a high level introduction to Adobe Campaign Standard.,Overview,,"Business Practitioner, Administrator, Developer",Beginner
./help/getting-started/getting-started-with-the-ui.md,Get Started with the UI ,This video gives you an overview over the Adobe Campaign Standard user interface and the key features and core functionality.,Overview,,"Business Practitioner, Administrator, Developer",Beginner
./help/getting-started/configure-a-list.md,Configure a list,"Learn how you can change the displayed columns, the order, and the sort order of a list view in Adobe Campaign Standard.  ",Overview,,"Business Practitioner, Administrator, Developer",Beginner
./help/getting-started/explore-hierarchy-and-marketing-activities.md,Explore Hierarchy and Marketing Activities,"Understand the hierarchy of programs and campaigns, how to create a marketing program, and how to create a marketing campaign within a program.","Campaigns, Programs",,Business Practitioner,Beginner
./help/getting-started/managing-campaigns.md,Manage campaigns,Learn  how to create and manage campaigns.,Campaigns ,,Business Practitioner,Beginner
./help/getting-started/understanding-profiles-and-audiences.md,Understand profiles and audiences in Adobe Campaign Standard,Understand the concept of profiles and audiences and learn how to create profiles and audiences.,"Profiles, Audiences",,"Business Practitioner, Developer, Administrator",Beginner
./help/managing-processes-and-data/creating-a-workflow.md,Create a workflow,Learn how to create and edit a workflow.,Workflows,,"Business Practitioner, Developer, Administrator",Beginner
./help/getting-started/reporting-with-adobe-campaign-introduction.md,Introduction to reporting,Understand  the reporting capabilities of Adobe Campaign Standard,Reporting,,"Business Practitioner, Developer",Beginner
